HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Chromosome	Entrez Gene ID	RefSeq IDs
HGNC:53766	AOX3P-AOX2P	AOX3P-AOX2P readthrough, transcribed pseudogene			2q33.1	107161151	
HGNC:28808	AP1AR	adaptor related protein complex 1 associated regulatory protein	C4orf16	PRO0971, 2C18, gamma-BAR	4q25	55435	NM_018569
HGNC:554	AP1B1	adaptor related protein complex 1 beta 1 subunit	ADTB1, CLAPB2	BAM22, AP105A	22q12.2	162	NM_001127
HGNC:297	AP1B1P1	adaptor related protein complex 1 beta 1 subunit pseudogene 1	ADTB1L1	dJ127L4.2	22q12.3	23782	NG_002625
HGNC:298	AP1B1P2	adaptor related protein complex 1 beta 1 subunit pseudogene 2	ADTB1L2	dJ127L4.3	22q12.3	23781	NG_002624
HGNC:555	AP1G1	adaptor related protein complex 1 gamma 1 subunit	CLAPG1, ADTG		16q22.2	164	
HGNC:556	AP1G2	adaptor related protein complex 1 gamma 2 subunit		G2AD	14q11.2	8906	NM_003917
HGNC:13667	AP1M1	adaptor related protein complex 1 mu 1 subunit		AP47, CLAPM2	19p13.11	8907	NM_032493
HGNC:558	AP1M2	adaptor related protein complex 1 mu 2 subunit		HSMU1B, mu2, AP1-mu2	19p13.2	10053	
HGNC:559	AP1S1	adaptor related protein complex 1 sigma 1 subunit	CLAPS1, EKV3	AP19, SIGMA1A, WUGSC:H_DJ0747G18.2	7q22.1	1174	NM_001283
HGNC:560	AP1S2	adaptor related protein complex 1 sigma 2 subunit	MRX59, MRXS5, PGS	SIGMA1B	Xp22.2	8905	NM_003916
HGNC:50752	AP1S2P1	adaptor related protein complex 1 sigma 2 subunit pseudogene 1			7q21.3		
HGNC:18971	AP1S3	adaptor related protein complex 1 sigma 3 subunit			2q36.1	130340	
HGNC:561	AP2A1	adaptor related protein complex 2 alpha 1 subunit	CLAPA1, ADTAA		19q13.33	160	
HGNC:562	AP2A2	adaptor related protein complex 2 alpha 2 subunit	CLAPA2, ADTAB	DKFZP564D1864, HYPJ, KIAA0899, HIP9	11p15.5	161	NM_012305
HGNC:563	AP2B1	adaptor related protein complex 2 beta 1 subunit	ADTB2, CLAPB1		17q12	163	
HGNC:564	AP2M1	adaptor related protein complex 2 mu 1 subunit	CLAPM1	AP50, mu2	3q27.1	1173	NM_004068
HGNC:565	AP2S1	adaptor related protein complex 2 sigma 1 subunit	CLAPS2, HHC3	FBHOk, FBH3	19q13.32	1175	
HGNC:566	AP3B1	adaptor related protein complex 3 beta 1 subunit		ADTB3A, HPS2	5q14.1	8546	
HGNC:567	AP3B2	adaptor related protein complex 3 beta 2 subunit		NAPTB	15q25.2	8120	
HGNC:568	AP3D1	adaptor related protein complex 3 delta 1 subunit		ADTD	19p13.3	8943	
HGNC:569	AP3M1	adaptor related protein complex 3 mu 1 subunit			10q22.2	26985	
HGNC:570	AP3M2	adaptor related protein complex 3 mu 2 subunit		CLA20, AP47B	8p11.21	10947	
HGNC:2013	AP3S1	adaptor related protein complex 3 sigma 1 subunit	CLAPS3		5q22.3-q23.1	1176	
HGNC:571	AP3S2	adaptor related protein complex 3 sigma 2 subunit		sigma3b	15q26.1	10239	
HGNC:572	AP4B1	adaptor related protein complex 4 beta 1 subunit	SPG47	BETA-4	1p13.2	10717	NM_006594
HGNC:44114	AP4B1-AS1	AP4B1 antisense RNA 1			1p13.2	100287722	NR_037864
HGNC:573	AP4E1	adaptor related protein complex 4 epsilon 1 subunit		AP-4-EPSILON, SPG51	15q21.2	23431	
HGNC:574	AP4M1	adaptor related protein complex 4 mu 1 subunit		MU-ARP2, MU-4, SPG50	7q22.1	9179	NM_004722
HGNC:575	AP4S1	adaptor related protein complex 4 sigma 1 subunit		CLA20, AP47B, SPG52	14q12	11154	
HGNC:25104	AP5B1	adaptor related protein complex 5 beta 1 subunit		PP1030, AP-5, DKFZp761E198	11q13.1	91056	NM_138368
HGNC:20192	AP5M1	adaptor related protein complex 5 mu 1 subunit	C14orf108, MUDENG	FLJ10813, MuD, mu5	14q22.3	55745	NM_018229
HGNC:15875	AP5S1	adaptor related protein complex 5 sigma 1 subunit	C20orf29	FLJ11168	20p13	55317	NM_018347
HGNC:22197	AP5Z1	adaptor related protein complex 5 zeta 1 subunit	KIAA0415	SPG48, zeta	7p22.1	9907	
HGNC:576	APAF1	apoptotic peptidase activating factor 1		CED4, APAF-1	12q23.1	317	NM_181861.1
HGNC:577	APAH1~withdrawn	symbol withdrawn, see NUDT2					
HGNC:578	APBA1	amyloid beta precursor protein binding family A member 1	MINT1	D9S411E, X11	9q21.12	320	NM_001163
HGNC:579	APBA2	amyloid beta precursor protein binding family A member 2	X11L, MINT2	D15S1518E, LIN-10, MGC:14091, HsT16821	15q13.1	321	NM_005503
HGNC:580	APBA3	amyloid beta precursor protein binding family A member 3		X11L2, mint3	19p13.3	9546	
HGNC:581	APBB1	amyloid beta precursor protein binding family B member 1	RIR	Fe65	11p15.4	322	NM_001164
HGNC:17379	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein		INAG1, RIAM	10p12.1	54518	NM_019043
HGNC:582	APBB2	amyloid beta precursor protein binding family B member 2		FE65L, FE65L1, MGC35575	4p14-p13	323	NM_173075
HGNC:20708	APBB3	amyloid beta precursor protein binding family B member 3		FE65L2	5q31.3	10307	NM_006051
HGNC:583	APC	APC, WNT signaling pathway regulator		DP2, DP3, DP2.5, PPP1R46	5q22.2	324	NM_000038
HGNC:24036	APC2	APC2, WNT signaling pathway regulator		APCL	19p13.3	10297	NM_005883
HGNC:15718	APCDD1	APC down-regulated 1		B7323	18p11.22	147495	NM_153000
HGNC:26892	APCDD1L	APC down-regulated 1 like		FLJ90166	20q13.32	164284	NM_153360
HGNC:27152	APCDD1L-AS1	APCDD1L antisense RNA 1 (head to head)			20q13.32	149773	NR_034147
HGNC:584	APCS	amyloid P component, serum		SAP, PTX2, MGC88159	1q23.2	325	NM_001639
HGNC:585	APECED~withdrawn	symbol withdrawn, see AIRE					
HGNC:586	APEH	acylaminoacyl-peptide hydrolase	D3F15S2, DNF15S2, D3S48E		3p21.31	327	
HGNC:48925	APELA	apelin receptor early endogenous ligand		Ende, ELA, tdl	4q32.3	100506013	
HGNC:587	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1	APEX	APE, REF1, HAP1, APX, APEN, REF-1, APE-1	14q11.2	328	NM_001641
HGNC:17889	APEX2	apurinic/apyrimidinic endodeoxyribonuclease 2		APEXL2, APE2, XTH2, ZGRF2	Xp11.21	27301	
HGNC:29509	APH1A	aph-1 homolog A, gamma-secretase subunit		APH-1A, CGI-78	1q21.2	51107	NM_016022
HGNC:24080	APH1B	aph-1 homolog B, gamma-secretase subunit		PSFL, APH-1B, DKFZp564D0372	15q22.2	83464	NM_031301
HGNC:13511	API1~withdrawn	symbol withdrawn, see BIRC2					
HGNC:13512	API2~withdrawn	symbol withdrawn, see BIRC3					
HGNC:13513	API3~withdrawn	symbol withdrawn, see XIAP					
HGNC:13514	API4~withdrawn	symbol withdrawn, see BIRC5					
HGNC:594	API5	apoptosis inhibitor 5		AAC-11, API5L1, AAC11	11p12	8539	NM_006595
HGNC:595	API5P1	apoptosis inhibitor 5 pseudogene 1	API5L1		Xq23	642812	NG_009200
HGNC:39070	API5P2	apoptosis inhibitor 5 pseudogene 2			2q31.2	728664	NG_009199
HGNC:596	API6~withdrawn	symbol withdrawn, see CD5L					
HGNC:17581	APIP	APAF1 interacting protein		CGI-29, Mmrp19, APIP2	11p13	51074	NM_015957
HGNC:28724	APLF	aprataxin and PNKP like factor	C2orf13	MGC47799, Xip1, ZCCHH1	2p13.3	200558	NM_173545
HGNC:16665	APLN	apelin		apelin, XNPEP2	Xq26.1	8862	NM_017413
HGNC:339	APLNR	apelin receptor	AGTRL1	FLJ90771, APJ, APJR	11q12.1	187	NM_005161
HGNC:597	APLP1	amyloid beta precursor like protein 1		APLP	19q13.12	333	NM_001024807
HGNC:598	APLP2	amyloid beta precursor like protein 2	APPL2	APPH	11q24.3	334	NM_001642
HGNC:13238	APMAP	adipocyte plasma membrane associated protein	C20orf3	BSCv	20p11.21	57136	NM_020531
HGNC:599	APNH~withdrawn	symbol withdrawn, see SLC9A1					
HGNC:600	APOA1	apolipoprotein A1			11q23.3	335	NM_000039
HGNC:40079	APOA1-AS	APOA1 antisense RNA			11q23.3	104326055	NR_126362
HGNC:601	APOA2	apolipoprotein A2			1q23.3	336	NM_001643
HGNC:602	APOA4	apolipoprotein A4			11q23.3	337	NM_000482
HGNC:17288	APOA5	apolipoprotein A5		RAP3, APOA-V	11q23.3	116519	
HGNC:6669	APOAL~withdrawn	symbol withdrawn, see LPAL2					
HGNC:603	APOB	apolipoprotein B			2p24.1	338	
HGNC:604	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1		BEDP, CDAR1, APOBEC-1, HEPR	12p13.31	339	NM_001644
HGNC:605	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2		ARCD1, ARP1	6p21.1	10930	NM_006789
HGNC:17343	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A		ARP3, PHRBN	22q13.1	200315	NM_145699
HGNC:44196	APOBEC3A_B	APOBEC3A and APOBEC3B deletion hybrid			22q13 alternate reference locus	100913187	NM_001193289
HGNC:43835	APOBEC3AP1	apolipoprotein B mRNA editing enzyme catalytic subunit 3A pseudogene 1			4q33		
HGNC:17352	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B		PHRBNL, FLJ21201	22q13.1	9582	NM_004900
HGNC:43836	APOBEC3B-AS1	APOBEC3B antisense RNA 1			22q13.1		
HGNC:17353	APOBEC3C	apolipoprotein B mRNA editing enzyme catalytic subunit 3C		APOBEC1L, PBI, bK150C2.3, ARDC2, ARDC4, ARP5	22q13.1	27350	NM_014508
HGNC:17354	APOBEC3D	apolipoprotein B mRNA editing enzyme catalytic subunit 3D	APOBEC3E	ARP6, APOBEC3DE	22q13.1	140564	NM_152426
HGNC:17355	APOBEC3E~withdrawn	symbol withdrawn, see APOBEC3D					
HGNC:17356	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F		ARP8, BK150C2.4.MRNA, KA6	22q13.1	200316	NM_145298
HGNC:17357	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G		CEM15, MDS019, dJ494G10.1, FLJ12740, bK150C2.7	22q13.1	60489	NM_021822
HGNC:24100	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H		ARP10	22q13.1	164668	NM_181773
HGNC:32152	APOBEC4	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4	C1orf169	MGC26594, FLJ25691, RP1-127C7.4	1q25.3	403314	NM_203454
HGNC:606	APOBER1~withdrawn	entry withdrawn					
HGNC:24087	APOBR	apolipoprotein B receptor		APOB48R, APOB100R	16p12.1	55911	NM_182804
HGNC:607	APOC1	apolipoprotein C1			19q13.32	341	
HGNC:608	APOC1P1	apolipoprotein C1 pseudogene 1			19q13.32	342	
HGNC:609	APOC2	apolipoprotein C2			19q13.32	344	NM_000483
HGNC:610	APOC3	apolipoprotein C3			11q23.3	345	NM_000040
HGNC:611	APOC4	apolipoprotein C4			19q13.32	346	NM_001646
HGNC:44426	APOC4-APOC2	APOC4-APOC2 readthrough (NMD candidate)			19q13.32	100533990	NR_037932
HGNC:612	APOD	apolipoprotein D			3q29	347	NM_001647
HGNC:613	APOE	apolipoprotein E	AD2		19q13.32	348	NM_000041
HGNC:614	APOEL1~withdrawn	entry withdrawn					
HGNC:615	APOF	apolipoprotein F			12q13.3	319	
HGNC:616	APOH	apolipoprotein H	B2G1	BG	17q24.2	350	NM_000042
HGNC:617	APOJ~withdrawn	symbol withdrawn, see CLU					
HGNC:618	APOL1	apolipoprotein L1	APOL		22q12.3	8542	NM_145343
HGNC:619	APOL2	apolipoprotein L2		APOL-II	22q12.3	23780	NM_145637
HGNC:14868	APOL3	apolipoprotein L3		CG12-1, APOLIII	22q12.3	80833	NM_145641
HGNC:14867	APOL4	apolipoprotein L4		APOLIV	22q12.3	80832	NM_145660
HGNC:14869	APOL5	apolipoprotein L5		APOLV	22q12.3	80831	NM_030642
HGNC:14870	APOL6	apolipoprotein L6		APOL-VI, APOLVI	22q12.3	80830	NM_030641
HGNC:25268	APOLD1	apolipoprotein L domain containing 1		FLJ25138, DKFZP434F0318	12p13.1	81575	NM_030817
HGNC:13916	APOM	apolipoprotein M		ApoM, G3a, NG20	6p21.33	55937	NM_019101
HGNC:28727	APOO	apolipoprotein O	FAM121B	MGC4825, My025, Mic23, MIC26	Xp22.11	79135	NM_024122
HGNC:24009	APOOL	apolipoprotein O like	CXorf33, FAM121A	UNQ8193, AAIR8193, Mic27	Xq21.1	139322	NM_198450
HGNC:48739	APOOP1	apolipoprotein O pseudogene 1			5q33.3	100286948	
HGNC:48740	APOOP2	apolipoprotein O pseudogene 2			3p11.2	100129005	
HGNC:48741	APOOP3	apolipoprotein O pseudogene 3			12q14.3	100131528	
HGNC:48742	APOOP4	apolipoprotein O pseudogene 4			4q13.2	100128725	
HGNC:48743	APOOP5	apolipoprotein O pseudogene 5			16q21	644649	
HGNC:20492	APOPT1	apoptogenic 1, mitochondrial	C14orf153	MGC2562, APOP-1	14q32.33	84334	NM_032374
HGNC:620	APP	amyloid beta precursor protein	AD1		21q21.3	351	NM_000484
HGNC:622	APPBP2	amyloid beta precursor protein binding protein 2		KIAA0228, Hs.84084, PAT1	17q23.2	10513	NM_006380
HGNC:623	APPL~withdrawn	entry withdrawn					
HGNC:24035	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1		APPL	3p14.3	26060	NM_012096
HGNC:18242	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2		FLJ10659, DIP13B	12q23.3	55198	NM_018171
HGNC:624	APPL2~withdrawn	symbol withdrawn, see APLP2					
HGNC:625	APR~withdrawn	symbol withdrawn, see LRP1					
HGNC:626	APRT	adenine phosphoribosyltransferase			16q24.3	353	NM_000485
HGNC:627	APS~withdrawn	symbol withdrawn, see KLK3					
HGNC:628	APT1~withdrawn	symbol withdrawn, see FAS					
HGNC:629	APT1LG1~withdrawn	symbol withdrawn, see FASLG					
HGNC:44173	APTR	Alu-mediated CDKN1A/p21 transcriptional regulator (non-protein coding)	RSBN1L-AS1		7q11.23	100505854	NR_038361
HGNC:15984	APTX	aprataxin	AXA1	FLJ20157, AOA, AOA1, EAOH, EOAHA	9p21.1	54840	NM_017692
HGNC:632	APY~withdrawn	symbol withdrawn, see MS4A2					
HGNC:633	AQP1	aquaporin 1 (Colton blood group)	CO	CHIP28	7p14.3	358	NM_000385
HGNC:634	AQP2	aquaporin 2			12q13.12	359	NM_000486
HGNC:635	AQP2L~withdrawn	symbol withdrawn, see AQP6					
HGNC:636	AQP3	aquaporin 3 (Gill blood group)		GIL	9p13.3	360	NM_004925
HGNC:637	AQP4	aquaporin 4		MIWC	18q11.2	361	NM_001650, NM_004028
HGNC:26399	AQP4-AS1	AQP4 antisense RNA 1	C18orf16, CHST9-AS1	FLJ30507	18q11.2	147429	
HGNC:638	AQP5	aquaporin 5			12q13.12	362	NM_001651
HGNC:639	AQP6	aquaporin 6	AQP2L		12q13.12	363	NM_001652, NM_053286
HGNC:640	AQP7	aquaporin 7	AQP7L	AQP9, AQPap	9p13.3	364	NM_001170
HGNC:641	AQP7L~withdrawn	symbol withdrawn, see AQP7					
HGNC:32048	AQP7P1	aquaporin 7 pseudogene 1			9q13	375719	XM_372110
HGNC:32049	AQP7P2	aquaporin 7 pseudogene 2			9q13	389756	XM_497059
HGNC:31976	AQP7P3	aquaporin 7 pseudogene 3		AQPap-3	9q21.11	441432	NG_005142
HGNC:32056	AQP7P4	aquaporin 7 pseudogene 4			9q13	100132938	NG_021659
HGNC:51836	AQP7P5	aquaporin 7 pseudogene 5			9p11.2	102724655	
HGNC:642	AQP8	aquaporin 8			16p12.1	343	NM_001169
HGNC:643	AQP9	aquaporin 9		SSC1, HsT17287	15q21.3	366	NM_020980
HGNC:16029	AQP10	aquaporin 10			1q21.3	89872	NM_080429
HGNC:19940	AQP11	aquaporin 11			11q14.1	282679	NM_173039
HGNC:19941	AQP12A	aquaporin 12A	AQP12		2q37.3	375318	NM_198998
HGNC:6096	AQP12B	aquaporin 12B	INSSA3		2q37.3	653437	
HGNC:29513	AQR	aquarius intron-binding spliceosomal factor		KIAA0560, fSAP164, IBP160	15q14	9716	NM_014691
HGNC:644	AR	androgen receptor	DHTR, SBMA	AIS, NR3C4, SMAX1, HUMARA	Xq12	367	NM_000044
HGNC:645	ARA~withdrawn	symbol withdrawn, see ABCC6					
HGNC:646	ARAF	A-Raf proto-oncogene, serine/threonine kinase	ARAF1		Xp11.3	369	
HGNC:50824	ARAFP1	ARAF pseudogene 1			7q11.21	100421741	
HGNC:647	ARAFP2	ARAF pseudogene 2	ARAF2, ARAFPS, ARAF2P	PKS1	7q11.21	644000	NG_008381
HGNC:35474	ARAFP3	ARAF pseudogene 3	ARAF3P		7q11.21	285893	NG_003157
HGNC:16925	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	CENTD2		11q13.4	116985	NM_001040118
HGNC:39993	ARAP1-AS1	ARAP1 antisense RNA 1			11q13.4		
HGNC:39994	ARAP1-AS2	ARAP1 antisense RNA 2			11q13.4	100506020	
HGNC:16924	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	CENTD1	PARX	4p14	116984	NM_015230
HGNC:24097	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	CENTD3	FLJ21065, DRAG1	5q31.3	64411	NM_022481
HGNC:648	ARC	activity regulated cytoskeleton associated protein		KIAA0278, Arg3.1	8q24.3	23237	
HGNC:649	ARCN1	archain 1	COPD		11q23.3	372	
HGNC:650	ARCN2~withdrawn	entry withdrawn					
HGNC:651	AREG	amphiregulin	SDGF, AREGB		4q13.3	374	
HGNC:34509	AREGB~withdrawn	symbol withdrawn, see AREG					
HGNC:20363	AREL1	apoptosis resistant E3 ubiquitin protein ligase 1	KIAA0317	FIEL1	14q24.3	9870	NM_014821
HGNC:652	ARF1	ADP ribosylation factor 1			1q42.13	375	NM_001024227
HGNC:22500	ARF1P1	ADP ribosylation factor 1 pseudogene 1			7q21.3	442334	XM_498225
HGNC:39883	ARF1P2	ADP ribosylation factor 1 pseudogene 2			12q24.31	100420012	
HGNC:39884	ARF1P3	ADP ribosylation factor 1 pseudogene 3			8q24.13	442396	
HGNC:653	ARF2~withdrawn	symbol withdrawn, see ARF4					
HGNC:44341	ARF2P	ADP ribosylation factor 2, pseudogene		MGC57346	17q21.31	108489980	NG_051340
HGNC:654	ARF3	ADP ribosylation factor 3			12q13.12	377	NM_001659
HGNC:655	ARF4	ADP ribosylation factor 4	ARF2		3p14.3	378	NM_001660
HGNC:51593	ARF4-AS1	ARF4 antisense RNA 1			3p14.3		
HGNC:657	ARF4P1	ADP ribosylation factor 4 pseudogene 1	ARF4P		9q34.2	380	NG_001075
HGNC:16599	ARF4P2	ADP ribosylation factor 4 pseudogene 2		dJ885L7.7	20q13.33	170485	NG_001031
HGNC:32380	ARF4P3	ADP ribosylation factor 4 pseudogene 3			13q32.3	390423	XM_372496
HGNC:37628	ARF4P4	ADP ribosylation factor 4 pseudogene 4			13q31.1	100129023	
HGNC:37629	ARF4P5	ADP ribosylation factor 4 pseudogene 5			1p31.1	100316867	
HGNC:658	ARF5	ADP ribosylation factor 5			7q32.1	381	NM_001662
HGNC:659	ARF6	ADP ribosylation factor 6			14q21.3	382	NM_001663
HGNC:15852	ARFGAP1	ADP ribosylation factor GTPase activating protein 1	ARF1GAP	FLJ10767, bA261N11.3	20q13.33	55738	NM_018209
HGNC:13504	ARFGAP2	ADP ribosylation factor GTPase activating protein 2	ZNF289	IRZ, Zfp289, FLJ14576	11p11.2	84364	NM_032389
HGNC:661	ARFGAP3	ADP ribosylation factor GTPase activating protein 3	ARFGAP1		22q13.2	26286	NM_014570
HGNC:15772	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1		DKFZP434L057, BIG1, ARFGEP1, p200	8q13.2	10565	NM_006421
HGNC:15853	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2		BIG2	20q13.13	10564	NM_006420
HGNC:21213	ARFGEF3	ARFGEF family member 3	C6orf92, KIAA1244	dJ171N11.1, BIG3, PPP1R33	6q23.3-q24.1	57221	NM_020340
HGNC:21496	ARFIP1	ADP ribosylation factor interacting protein 1		HSU52521	4q31.3	27236	NM_014447
HGNC:17160	ARFIP2	ADP ribosylation factor interacting protein 2		POR1	11p15.4	23647	NM_012402
HGNC:662	ARFRP1	ADP ribosylation factor related protein 1		ARP, Arp1, ARL18	20q13.33	10139	
HGNC:663	ARG1	arginase 1			6q23.2	383	
HGNC:664	ARG2	arginase 2			14q24.1	384	NM_001172
HGNC:30146	ARGFX	arginine-fifty homeobox			3q13.33	503582	NM_001012659
HGNC:17252	ARGFXP1	arginine-fifty homeobox pseudogene 1			5q23.2	503583	NG_004853
HGNC:23977	ARGFXP2	arginine-fifty homeobox pseudogene 2			17q11.2	503640	NR_002222
HGNC:25482	ARGLU1	arginine and glutamate rich 1		FLJ10154	13q33.3	55082	NM_018011
HGNC:666	ARH6~withdrawn	symbol withdrawn, see RHOB					
HGNC:665	ARH12~withdrawn	symbol withdrawn, see RHOA					
HGNC:673	ARHGAP1	Rho GTPase activating protein 1		RhoGAP, p50rhoGAP, CDC42GAP, Cdc42GAP	11p11.2	392	NM_004308
HGNC:674	ARHGAP4	Rho GTPase activating protein 4		KIAA0131, C1, p115, RhoGAP4, SrGAP4	Xq28	393	NM_001666
HGNC:675	ARHGAP5	Rho GTPase activating protein 5	GFI2	RhoGAP5, p190-B, p190BRhoGAP	14q12	394	NM_001030055
HGNC:20279	ARHGAP5-AS1	ARHGAP5 antisense RNA 1 (head to head)	C14orf128	MGC15504	14q12	84837	NR_027263
HGNC:676	ARHGAP6	Rho GTPase activating protein 6		rhoGAPX-1	Xp22.2	395	NM_013427
HGNC:677	ARHGAP8	Rho GTPase activating protein 8		FLJ20185, BPGAP1	22q13.31	23779	NM_017701
HGNC:14130	ARHGAP9	Rho GTPase activating protein 9		MGC1295, 10C	12q13.3	64333	NM_032496
HGNC:26099	ARHGAP10	Rho GTPase activating protein 10		FLJ20896, FLJ41791, GRAF2	4q31.23	79658	NM_024605
HGNC:15783	ARHGAP11A	Rho GTPase activating protein 11A		KIAA0013	15q13.3	9824	NM_014783
HGNC:15782	ARHGAP11B	Rho GTPase activating protein 11B	FAM7B1	B'-T	15q13.2	89839	NM_001039841
HGNC:16348	ARHGAP12	Rho GTPase activating protein 12		FLJ20737, FLJ10971, FLJ21785	10p11.22	94134	
HGNC:21030	ARHGAP15	Rho GTPase activating protein 15		BM046	2q22.2-q22.3	55843	NM_018460
HGNC:19921	ARHGAP16P	Rho GTPase activating protein 16 pseudogene	ARHGAP15P		14q21.2	319102	NG_002492
HGNC:18239	ARHGAP17	Rho GTPase activating protein 17		RICH1, FLJ10308, NADRIN, FLJ13219, WBP15	16p12.1	55114	NM_018054
HGNC:21035	ARHGAP18	Rho GTPase activating protein 18		MacGAP, bA307O14.2	6q22.33	93663	NM_033515
HGNC:23724	ARHGAP19	Rho GTPase activating protein 19		FLJ00194, MGC14258	10q24.1	84986	NM_032900
HGNC:48348	ARHGAP19-SLIT1	ARHGAP19-SLIT1 readthrough (NMD candidate)			10q24.1	100533184	
HGNC:18357	ARHGAP20	Rho GTPase activating protein 20		KIAA1391	11q22.3-q23.1	57569	NM_020809
HGNC:23725	ARHGAP21	Rho GTPase activating protein 21		KIAA1424, ARHGAP10	10p12.1	57584	NM_020824
HGNC:30320	ARHGAP22	Rho GTPase activating protein 22		RhoGAP2	10q11.22-q11.23	58504	NM_021226
HGNC:42944	ARHGAP22-IT1	ARHGAP22 intronic transcript 1		FLJ35752	10q11.22	100689073	
HGNC:29293	ARHGAP23	Rho GTPase activating protein 23		KIAA1501	17q12	57636	NM_001199417
HGNC:45039	ARHGAP23P1	Rho GTPase activating protein 23 pseudogene 1			16p11.2		
HGNC:25361	ARHGAP24	Rho GTPase activating protein 24		DKFZP564B1162, FLJ33877, FilGAP	4q21.23-q21.3	83478	NM_031305
HGNC:28951	ARHGAP25	Rho GTPase activating protein 25		KIAA0053	2p13.3	9938	NM_014882
HGNC:17073	ARHGAP26	Rho GTPase activating protein 26		GRAF, KIAA0621, OPHN1L, OPHN1L1	5q31.3	23092	NM_015071
HGNC:40792	ARHGAP26-AS1	ARHGAP26 antisense RNA 1			5q31.3		
HGNC:41429	ARHGAP26-IT1	ARHGAP26 intronic transcript 1			5q31.3		
HGNC:31813	ARHGAP27	Rho GTPase activating protein 27	SH3D20	CAMGAP1, FLJ43547, SH3P20	17q21.31	201176	NM_199282
HGNC:28630	ARHGAP27P1	Rho GTPase activating protein 27 pseudogene 1		loc146880	17q24.1	146880	NR_027487
HGNC:52873	ARHGAP27P1-BPTFP1-KPNA2P3	ARHGAP27P1-BPTFP1-KPNA2P3 readthrough, transcribed pseudogene			17q24.1	109286553	NR_026899
HGNC:53771	ARHGAP27P2	Rho GTPase activating protein 27 pseudogene 2			17q24.2	440461	
HGNC:25509	ARHGAP28	Rho GTPase activating protein 28		KIAA1314, FLJ10312	18p11.31	79822	NM_001010000
HGNC:30207	ARHGAP29	Rho GTPase activating protein 29		PARG1	1p22.1	9411	NM_004815
HGNC:27414	ARHGAP30	Rho GTPase activating protein 30		FLJ00267	1q23.3	257106	NM_181720
HGNC:29216	ARHGAP31	Rho GTPase activating protein 31		CDGAP	3q13.32-q13.33	57514	
HGNC:41235	ARHGAP31-AS1	ARHGAP31 antisense RNA 1			3q13.33		
HGNC:17399	ARHGAP32	Rho GTPase activating protein 32		GRIT, KIAA0712, MGC1892, RICS, GC-GAP	11q24.3	9743	NM_014715
HGNC:23085	ARHGAP33	Rho GTPase activating protein 33	SNX26	FLJ39019, TCGAP	19q13.12	115703	NM_052948
HGNC:4591	ARHGAP35	Rho GTPase activating protein 35	GRLF1	GRF-1, p190ARhoGAP, P190A, KIAA1722, p190RhoGAP	19q13.32	2909	NM_004491
HGNC:26388	ARHGAP36	Rho GTPase activating protein 36		FLJ30058	Xq26.1	158763	NM_144967
HGNC:29351	ARHGAP39	Rho GTPase activating protein 39		KIAA1688, Vilse, CrGAP	8q24.3	80728	
HGNC:16226	ARHGAP40	Rho GTPase activating protein 40	C20orf95	dJ1100H13.4	20q11.23	343578	NM_001164431
HGNC:26545	ARHGAP42	Rho GTPase activating protein 42	TMEM133	FLJ32810, GRAF3, AD031	11q22.1	143872	NM_152432
HGNC:43940	ARHGAP42P1	Rho GTPase activating protein 42 pseudogene 1			2q21.1		
HGNC:43939	ARHGAP42P2	Rho GTPase activating protein 42 pseudogene 2			2q21.1	100130693	
HGNC:19327	ARHGAP42P3	Rho GTPase activating protein 42 pseudogene 3	OPHN1P1		22q11.1	266698	
HGNC:43941	ARHGAP42P4	Rho GTPase activating protein 42 pseudogene 4			14q11.2	254398	
HGNC:43942	ARHGAP42P5	Rho GTPase activating protein 42 pseudogene 5			14q11.2	100128514	
HGNC:29096	ARHGAP44	Rho GTPase activating protein 44		KIAA0672, RICH-2, RICH2	17p12	9912	NM_014859
HGNC:17102	ARHGAP45	Rho GTPase activating protein 45	HMHA1	KIAA0223, HA-1	19p13.3	23526	
HGNC:678	ARHGDIA	Rho GDP dissociation inhibitor alpha	GDIA1	RHOGDI	17q25.3	396	NM_004309
